City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,ketchikan,55.3422,-131.6461,1.21,97,100,2.82,US,1672365681
376,longyan,25.1072,117.0225,12.2,72,71,1.87,CN,1672365635
377,santa isabel,-23.3156,-46.2214,18.53,99,97,0.87,BR,1672365682
378,mitu,1.1983,-70.1733,23.2,86,90,1.42,CO,1672365683
379,maniitsoq,65.4167,-52.9,-12.27,83,91,2.89,GL,1672365684
380,oistins,13.0667,-59.5333,25.16,81,6,7.96,BB,1672365684
381,saurimo,-9.6608,20.3916,18.05,99,100,1.18,AO,1672365685
382,joshimath,30.5667,79.5667,3.55,58,50,2.63,IN,1672365686
383,tura,25.5198,90.2201,14.09,66,3,1.03,IN,1672365687
384,nhulunbuy,-12.2333,136.7667,27.34,89,75,6.69,AU,1672365687
385,kaliganj,23.4095,89.1402,15.4,44,80,1.96,BD,1672365688
386,qasigiannguit,68.8193,-51.1922,-9.86,95,100,5.44,GL,1672365689
387,stornoway,58.2093,-6.3865,2.98,89,20,0.51,GB,1672365690
388,minot,48.2325,-101.2963,-15.63,96,100,2.09,US,1672365577
389,mecca,21.4267,39.8261,20.82,63,92,1.64,SA,1672365545
390,paita,-5.0892,-81.1144,20.97,82,12,4.54,PE,1672365692
391,san ramon,37.7799,-121.978,12.08,95,100,2.06,US,1672365693
392,gillette,44.2911,-105.5022,-1.7,74,19,1.34,US,1672365431
393,svetlogorsk,52.6333,29.7333,1.4,97,100,3.85,BY,1672365694
394,tabas,33.5959,56.9244,5.14,58,0,0.37,IR,1672365695
395,presidente bernardes,-22.0061,-51.5531,23.18,83,4,2.94,BR,1672365695
396,srandakan,-7.9386,110.2506,27.43,73,100,1.24,ID,1672365696
397,hambantota,6.1241,81.1185,22.19,100,20,2.06,LK,1672365697
398,jining,35.405,116.5814,1.73,23,81,1.01,CN,1672365697
399,zhigansk,66.7697,123.3711,-34.49,100,94,3.37,RU,1672365698
400,saint-pierre,-21.3393,55.4781,23.28,68,0,2.06,RE,1672365644
401,am timan,11.0297,20.2827,18.76,26,29,3.03,TD,1672365466
402,mangan,27.5167,88.5333,13.28,75,95,0.22,IN,1672365701
403,martapura,-3.4167,114.85,26.05,78,20,5.14,ID,1672365573
404,hovd,48.0056,91.6419,-18.17,89,98,0.39,MN,1672365702
405,kayes,14.0,-11.0,27.0,17,100,4.02,ML,1672365703
406,krasnaya gorka,55.1962,56.6673,-9.26,96,100,1.22,RU,1672365703
407,tazovskiy,67.4667,78.7,-33.97,100,7,1.47,RU,1672365704
408,caravelas,-17.7125,-39.2481,23.92,87,50,3.35,BR,1672365705
409,ugoofaaru,5.6667,73.0,27.38,74,100,7.09,MV,1672365705
410,severo-kurilsk,50.6789,156.125,-3.26,73,100,9.14,RU,1672365485
411,rio do sul,-27.2142,-49.6431,16.18,93,3,0.76,BR,1672365520
412,kilindoni,-7.9139,39.6668,27.15,73,35,4.96,TZ,1672365707
413,saint-denis,48.9167,2.3333,6.23,93,20,3.6,FR,1672365709
414,aksarka,66.5606,67.7975,-29.17,100,98,1.52,RU,1672365710
415,nouadhibou,20.931,-17.0347,19.71,85,91,2.73,MR,1672365711
416,menongue,-14.6585,17.691,16.35,84,100,1.14,AO,1672365712
417,qingyuan,23.7,113.0333,10.99,61,24,3.83,CN,1672365712
418,madang,-5.2246,145.7966,27.2,82,96,1.18,PG,1672365713
419,saint-francois,46.4154,3.9054,4.82,100,100,2.06,FR,1672365714
420,mahanoro,-19.9,48.8,22.41,83,59,1.2,MG,1672365715
421,chingola,-12.529,27.8838,16.45,99,100,2.1,ZM,1672365715
422,alofi,-19.0595,-169.9187,27.22,77,96,5.05,NU,1672365716
423,tucupita,9.0622,-62.051,21.56,99,9,1.52,VE,1672365717
424,esperance,-33.8667,121.9,25.38,45,0,3.44,AU,1672365717
425,broome,42.2506,-75.833,6.78,74,100,2.24,US,1672365718
426,pontal do parana,-25.6533,-48.5128,21.22,81,0,0.76,BR,1672365719
427,wenatchee,47.4235,-120.3103,1.93,92,100,2.06,US,1672365720
428,manjacaze,-24.7117,33.8828,23.19,74,99,1.22,MZ,1672365721
429,tambacounda,13.7539,-13.7586,26.23,20,100,2.03,SN,1672365722
430,zapolyarnyy,69.4154,30.8136,-8.4,95,100,3.9,RU,1672365440
431,bentiu,9.2333,29.8333,21.2,36,4,2.52,SS,1672365723
432,miles city,46.4083,-105.8406,-5.18,86,23,1.82,US,1672365670
433,pimenta bueno,-11.6725,-61.1936,22.71,97,100,1.11,BR,1672365724
434,znamenskoye,57.1281,73.8282,-26.18,100,99,1.07,RU,1672365725
435,riosucio,5.4216,-75.7032,14.25,96,8,0.5,CO,1672365726
436,nehe,48.4833,124.8333,-17.92,85,76,3.06,CN,1672365727
437,magistralnyy,56.1725,107.4458,-15.43,86,100,2.7,RU,1672365728
438,santa maria,-29.6842,-53.8069,18.61,72,0,1.54,BR,1672365452
439,murindo,6.9848,-76.7544,23.63,96,58,0.74,CO,1672365729
440,luchegorsk,46.4764,134.2569,-18.86,92,57,3.02,RU,1672365730
441,paamiut,61.994,-49.6678,-12.31,78,5,5.16,GL,1672365730
442,wilmington,34.2257,-77.9447,12.73,90,41,0.89,US,1672365568
443,baherden,38.4362,57.4316,4.21,86,17,2.39,TM,1672365732
444,mwinilunga,-11.7358,24.4293,16.49,99,100,1.09,ZM,1672365733
445,tres arroyos,-38.3739,-60.2798,17.64,43,3,3.5,AR,1672365734
446,chimore,-16.9833,-65.1333,22.48,93,100,0.69,BO,1672365735
447,san roque,36.2107,-5.3842,13.46,88,40,3.09,ES,1672365736
448,zdice,49.9121,13.9775,9.88,87,100,4.73,CZ,1672365736
449,kayerkan,69.3497,87.7602,-28.32,92,18,1.92,RU,1672365737
450,terre haute,39.4667,-87.4139,13.46,89,100,1.34,US,1672365738
451,virginia beach,36.8529,-75.978,10.58,68,1,0.45,US,1672365725
452,belen,36.4891,36.2233,5.06,69,0,2.39,TR,1672365739
453,manacapuru,-3.2997,-60.6206,23.33,93,68,1.94,BR,1672365740
454,bathsheba,13.2167,-59.5167,25.15,83,14,7.74,BB,1672365647
455,zhezkazgan,47.8043,67.7144,-8.01,86,100,1.0,KZ,1672365741
456,kamina,-8.7386,24.9906,17.37,99,100,1.87,CD,1672365742
457,ust-nera,64.5667,143.2,-23.75,98,100,0.72,RU,1672365743
458,fenoarivo atsinanana,-17.3667,49.4167,22.3,84,36,2.15,MG,1672365744
459,liverpool,53.4106,-2.9779,7.46,88,100,4.47,GB,1672365714
460,dongsheng,39.8161,109.9776,-10.72,39,0,3.09,CN,1672365630
461,xiaoweizhai,26.1903,107.5125,4.78,64,93,1.31,CN,1672365745
462,touros,-5.1989,-35.4608,26.17,78,38,5.86,BR,1672365746
463,kruisfontein,-34.0033,24.7314,13.82,56,100,1.32,ZA,1672365747
464,jiazi,22.8779,116.067,13.95,62,3,5.13,CN,1672365748
465,camara de lobos,32.6333,-16.9667,18.4,48,20,3.6,PT,1672365748
466,presidencia roque saenz pena,-26.7852,-60.4388,23.51,40,2,0.59,AR,1672365749
467,lata,40.1629,-8.3327,16.15,94,100,4.49,PT,1672365750
468,newcastle,-32.9272,151.7765,26.16,68,75,6.69,AU,1672365750
469,maldonado,-34.6667,-54.9167,17.35,56,10,2.01,UY,1672365752
470,sao miguel do araguaia,-13.275,-50.1628,22.15,95,99,1.65,BR,1672365569
471,laguna,38.421,-121.4238,11.14,93,100,3.09,US,1672365753
472,de-kastri,51.4667,140.7833,-15.42,88,7,2.81,RU,1672365754
473,hokitika,-42.7167,170.9667,20.5,64,55,4.79,NZ,1672365754
474,camalu,30.85,-116.0667,14.14,74,46,3.74,MX,1672365755
475,kenora,49.8167,-94.4337,-5.68,92,97,4.02,CA,1672365756
476,bhainsdehi,21.6467,77.6325,16.08,44,0,0.8,IN,1672365757
477,point pleasant,40.0832,-74.0682,7.2,75,3,1.34,US,1672365750
478,san pedro,14.35,121.0167,28.51,77,100,4.08,PH,1672365758
479,tarrafal,15.2833,-23.7667,22.14,63,70,3.58,CV,1672365759
